Drone_ID,X (m),Y (m),Z (m)
482,-94.5,-26.5,80
483,-84.5,-26.5,80
484,-74.5,-26.5,80
485,-64.5,-26.5,80
486,-54.5,-26.5,80
487,-44.5,-26.5,80
488,-34.5,-26.5,80
489,-24.5,-26.5,80
490,-14.5,-26.5,80
491,-4.5,-26.5,80
492,5.5,-26.5,80
493,-104.5,-16.5,80
494,-94.5,-16.5,80
495,-84.5,-16.5,80
496,-74.5,-16.5,80
497,-64.5,-16.5,80
498,-54.5,-16.5,80
499,-44.5,-16.5,80
500,-34.5,-16.5,80
501,-24.5,-16.5,80
502,-14.5,-16.5,80
503,-4.5,-16.5,80
504,5.5,-16.5,80
505,-104.5,-6.5,80
506,-94.5,-6.5,80
507,-84.5,-6.5,80
508,-74.5,-6.5,80
509,-64.5,-6.5,80
510,-54.5,-6.5,80
511,-44.5,-6.5,80
512,-34.5,-6.5,80
513,-24.5,-6.5,80
514,-14.5,-6.5,80
515,-4.5,-6.5,80
516,5.5,-6.5,80
517,-104.5,3.5,80
518,-94.5,3.5,80
519,-84.5,3.5,80
520,-74.5,3.5,80
521,-64.5,3.5,80
522,-54.5,3.5,80
523,-44.5,3.5,80
524,-34.5,3.5,80
525,-24.5,3.5,80
526,-14.5,3.5,80
527,-4.5,3.5,80
528,5.5,3.5,80
529,-104.5,13.5,80
530,-94.5,13.5,80
531,-84.5,13.5,80
532,-74.5,13.5,80
533,-64.5,13.5,80
534,-54.5,13.5,80
535,-44.5,13.5,80
536,-34.5,13.5,80
537,-24.5,13.5,80
538,-14.5,13.5,80
539,-4.5,13.5,80
540,5.5,13.5,80
541,-104.5,-26.5,90
542,-94.5,-26.5,90
543,-84.5,-26.5,90
544,-74.5,-26.5,90
545,-64.5,-26.5,90
546,-54.5,-26.5,90
547,-44.5,-26.5,90
548,-34.5,-26.5,90
549,-24.5,-26.5,90
550,-14.5,-26.5,90
551,-4.5,-26.5,90
552,5.5,-26.5,90
553,-104.5,-16.5,90
554,-94.5,-16.5,90
555,-84.5,-16.5,90
556,-74.5,-16.5,90
557,-64.5,-16.5,90
558,-54.5,-16.5,90
559,-44.5,-16.5,90
560,-34.5,-16.5,90
561,-24.5,-16.5,90
562,-14.5,-16.5,90
563,-4.5,-16.5,90
564,5.5,-16.5,90
565,-104.5,-6.5,90
566,-94.5,-6.5,90
567,-84.5,-6.5,90
568,-74.5,-6.5,90
569,-64.5,-6.5,90
570,-54.5,-6.5,90
571,-44.5,-6.5,90
572,-34.5,-6.5,90
573,-24.5,-6.5,90
574,-14.5,-6.5,90
575,-4.5,-6.5,90
576,5.5,-6.5,90
577,-104.5,3.5,90
578,-94.5,3.5,90
579,-84.5,3.5,90
580,-74.5,3.5,90
581,-64.5,3.5,90
582,-54.5,3.5,90
583,-44.5,3.5,90
584,-34.5,3.5,90
585,-24.5,3.5,90
586,-14.5,3.5,90
587,-4.5,3.5,90
588,5.5,3.5,90
589,-104.5,13.5,90
590,-94.5,13.5,90
591,-84.5,13.5,90
592,-74.5,13.5,90
593,-64.5,13.5,90
594,-54.5,13.5,90
595,-44.5,13.5,90
596,-34.5,13.5,90
597,-24.5,13.5,90
598,-14.5,13.5,90
599,-4.5,13.5,90
600,5.5,13.5,90
